New York Knicks,19,32
Los Angeles Lakers,18,17
Chicago Bulls,50,42
San Antonio Spurs,61,67
Philadelphia 76ers,16,10
Detroit Pistons,34,44
Boston Celtics,51,48
Miami Heat,36,48
Orlando Magic,23,35
Portland Trail Blazers,43,44
Golden State Warriors,66,73
Memphis Grizzlies,52,42
Washington Wizards,43,41
Utah Jazz,44,40
Dallas Mavericks,48,42
Sacramento Kings,27,33
Los Angeles Clippers,60,53
Oklahoma City Thunder,47,55
Charlotte Hornets,29,48
Milwaukee Bucks,38,33
Toronto Raptors,44,56
Houston Rockets,57,41
Phoenix Suns,35,23
Minnesota Timberwolves,16,29
New Orleans Pelicans,47,30
Cleveland Cavaliers,57,57
Atlanta Hawks,52,48
Brooklyn Nets,44,21
Indiana Pacers,44,45
Denver Nuggets,30,33
