New York Knicks,8,32,#F58426
Los Angeles Lakers,6,17,#552582
Chicago Bulls,56,42,#CE1141
San Antonio Spurs,80,67,#000000
Philadelphia 76ers,8,10,#006BB6
Detroit Pistons,19,44,#001F70
Boston Celtics,55,48,#008348
Miami Heat,36,48,#98002E
Orlando Magic,9,35,#007DC5
Portland Trail Blazers,50,44,#F0163A
Golden State Warriors,80,73,#006BB6
Memphis Grizzlies,53,42,#23375B
Washington Wizards,48,41,#002566
Utah Jazz,53,40,#002B5C
Dallas Mavericks,51,42,#20385B
Sacramento Kings,21,33,#724C9F
Los Angeles Clippers,59,53,#ED174C
Oklahoma City Thunder,45,55,#007DC3
Charlotte Hornets,10,48,#1D1160
Milwaukee Bucks,47,33,#00471B
Toronto Raptors,48,56,#CE1141
Houston Rockets,58,41,#CE1141
Phoenix Suns,28,23,#1D1160
Minnesota Timberwolves,5,29,#005083
New Orleans Pelicans,52,30,#002B5C
Cleveland Cavaliers,67,57,#860038
Atlanta Hawks,58,48,#E03A3E
Brooklyn Nets,47,21,#000000
Indiana Pacers,46,45,#00275D
Denver Nuggets,20,33,#4FA8FF
